group_id,artifact_id,version_number
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.14
com.nimbusds,nimbus-jose-jwt,4.6
com.mikepenz.materialdrawer,library,2.5.6
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.15
com.nimbusds,nimbus-jose-jwt,4.7
com.mikepenz.materialdrawer,library,2.5.7
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.16
com.nimbusds,nimbus-jose-jwt,4.8
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.17
com.mikepenz.materialdrawer,library,2.6.0
com.nimbusds,nimbus-jose-jwt,4.9
com.mikepenz.materialdrawer,library,2.6.1
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.18
com.ocpsoft,ocpsoft-pretty-time,1.0.0_GA
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.19
com.mikepenz.materialdrawer,library,2.6.5
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.20
com.ocpsoft,ocpsoft-pretty-time,1.0.1
com.mikepenz.materialdrawer,library,2.6.6
com.ocpsoft,ocpsoft-pretty-time,1.0.2
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.21
com.mikepenz.materialdrawer,library,2.6.7
com.ocpsoft,ocpsoft-pretty-time,1.0.3
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.22
com.mikepenz.materialdrawer,library,2.6.8
com.ocpsoft,ocpsoft-pretty-time,1.0.4
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.23
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.24
com.ocpsoft,ocpsoft-pretty-time,1.0.5
com.mikepenz.materialdrawer,library,2.6.9
com.ocpsoft,ocpsoft-pretty-time,1.0.6
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.25
com.mikepenz.materialdrawer,library,2.7.0
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.26
com.ocpsoft,ocpsoft-pretty-time,1.0.7
